Altium Designer Pick and Place Locations,,,,
,,,,
,,,,
========================================================================================================================,,,,
,,,,
Designator,Layer,Center-X(mm),Center-Y(mm),Rotation
C1,TopLayer,47.0408,8.3312,360
C2,TopLayer,28.9306,9.4996,360
C3,TopLayer,27,20.75,90
C4,TopLayer,24.25,20.75,90
C5,TopLayer,21,20.75,90
C6,TopLayer,17.5,20.75,90
C7,TopLayer,14.5,20.75,90
C8,TopLayer,26.25,25,0
C9,TopLayer,26.25,27.25,0
C10,TopLayer,39.7764,27.5082,90
C11,TopLayer,42.7228,27.7622,90
C12,TopLayer,34.544,27.178,90
C13,TopLayer,27.686,10.541,360
C14,TopLayer,47.0408,6.8072,180
R3,TopLayer,11.3284,20.2184,180
D2,TopLayer,58.4454,6.8834,90
U1,TopLayer,37.973,17.018,270
U2,TopLayer,55.2704,20.0406,180
FB1,TopLayer,29.4894,25.8064,90
X1,TopLayer,46.863,26.797,270
